name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Nonviolent Communication,NVC,framework,psychology,"Marshall Rosenberg's framework structuring communication around observation, feeling, need, and request.",organizing-schema,Practitioner adoption is substantial but rigorous empirical validation is limited; some critics have noted that the method's self-presentation as 'nonviolent' begs the question.,high,pending,v4.2
Interest-Based Relational Approach,IBR,framework,negotiation,Conflict-resolution approach prioritizing relationship preservation alongside interest satisfaction.,organizing-schema,,high,pending,v4.2
Difficult Conversations Framework,Three Conversations Model,framework,negotiation,"Stone, Patton, and Heen's framework distinguishing the 'what happened' conversation, the feelings conversation, and the identity conversation.",organizing-schema,,high,pending,v4.2
Crucial Conversations,,framework,negotiation,"Patterson, Grenny, McMillan, and Switzler's framework for high-stakes conversations involving strong emotions and opposing opinions.",organizing-schema,,high,pending,v4.2
Transformative Mediation,,framework,law,Bush and Folger's mediation framework focused on empowering parties and fostering recognition rather than reaching settlement.,organizing-schema,,high,pending,v4.2
Facilitative Mediation,,framework,law,Mediation framework in which the mediator facilitates communication and negotiation without offering opinions on the merits.,organizing-schema,,high,pending,v4.2
Evaluative Mediation,,framework,law,Mediation framework in which the mediator offers opinions on the strengths and weaknesses of parties' positions and likely outcomes.,organizing-schema,,high,pending,v4.2
Restorative Circles,,framework,law,"Restorative practice framework using structured group dialogue to address harm, develop understanding, and rebuild relationships.",organizing-schema,,high,pending,v4.2
Dialogic Organization Development,Dialogic OD,framework,management,Bushe and Marshak's framework treating organizational change as emerging from shifts in conversation and meaning-making rather than diagnostic interventions.,organizing-schema,,high,pending,v4.2
Powell Doctrine,,framework,military science,"Colin Powell's set of decision criteria for committing US military force, including clear objectives, public support, and exit strategy.",doctrinal-institutional,,high,pending,v4.2
Deliberate Practice,,framework,psychology,"Anders Ericsson's framework characterizing the specific, effortful, feedback-driven practice associated with expert performance.",structured-empirical,The popular ten-thousand-hours formulation oversimplifies Ericsson's research; subsequent work (Macnamara et al.) has shown that deliberate practice explains less variance in expert performance than originally claimed.,high,pending,v4.2
Periodization,Block Periodization; Linear Periodization,framework,performance,Matveyev's framework structuring athletic training in cycles of varying intensity and volume to optimize peak performance.,structured-empirical,,high,pending,v4.2
Long-Term Athlete Development,LTAD,framework,performance,"Istvan Balyi's framework describing athletic development phases across the lifespan, used in national sport development systems.",organizing-schema,,high,pending,v4.2
Coerver Method,,framework,performance,Wiel Coerver's skill-based soccer coaching methodology emphasizing individual ball mastery through structured progression.,organizing-schema,,high,pending,v4.2
Mental Skills Training,Sport Psychology Skills,framework,performance,"Sport psychology toolkit covering goal-setting, imagery, self-talk, arousal regulation, and concentration applied to athletic performance.",structured-empirical,,high,pending,v4.2
Inner Game,Self 1 / Self 2,framework,performance,Timothy Gallwey's framework distinguishing the conscious 'Self 1' from the embodied 'Self 2' in performance contexts; widely influential beyond sports.,organizing-schema,,high,pending,v4.2
Marginal Gains,Aggregation of Marginal Gains,framework,performance,"Dave Brailsford's framework systematically pursuing one-percent improvements across many small factors, associated with British Cycling's competitive success.",organizing-schema,,high,pending,v4.2
Superforecasting,Good Judgment Project,framework,political science,Philip Tetlock's framework characterizing the practices and dispositions associated with consistently accurate forecasting under uncertainty.,structured-empirical,,high,pending,v4.2
Scenario Planning (Wack),Shell Scenarios,framework,management,"Pierre Wack's narrative scenario methodology developed at Royal Dutch Shell, focused on shifting executives' mental models rather than predicting futures.",organizing-schema,,high,pending,v4.2
Reference Class Forecasting,Outside View,framework,management,"Kahneman and Tversky's method, developed for projects by Bent Flyvbjerg, using base rates from comparable past cases to correct for the planning fallacy.",structured-empirical,,high,pending,v4.2
Prediction Markets,,framework,economics,Aggregating dispersed information about future events through trading mechanisms that produce price-based probability estimates.,structured-empirical,,high,pending,v4.2
Foresight Cone,Cone of Plausibility,framework,management,"Voros's framework distinguishing possible, plausible, probable, and preferable futures across an expanding cone of uncertainty.",organizing-schema,,high,pending,v4.2
Causal Layered Analysis,CLA,framework,management,"Sohail Inayatullah's four-layer futures methodology analyzing the litany, social causes, worldviews, and myths underlying any contested future.",organizing-schema,,high,pending,v4.2
Backcasting,,framework,management,Foresight method working backward from a desired future state to identify the actions and decisions needed to reach it.,organizing-schema,,high,pending,v4.2
Delphi Method,,framework,management,RAND-developed structured method for eliciting expert consensus through iterated anonymous rounds with controlled feedback.,structured-empirical,,high,pending,v4.2
Self-Organized Criticality,SOC,framework,mathematics,"Per Bak's framework characterizing systems that naturally tune themselves to critical states producing power-law-distributed avalanches, originating with the sandpile model.",formal-scientific,,high,pending,v4.2
Statistical Complexity,Epsilon-Machines,framework,mathematics,"Crutchfield's measure of the size of the minimal predictive model of a stochastic process, explicitly designed to distinguish complex from random processes.",formal-scientific,,high,pending,v4.2
Effective Complexity,,framework,mathematics,"Gell-Mann and Lloyd's measure separating regular from random components in a description, capturing the structured rather than random part.",formal-scientific,,high,pending,v4.2
Logical Depth,Bennett Depth,framework,mathematics,"Charles Bennett's measure of the computational resources required to produce an object from its shortest description, capturing how much 'work' a structured object encodes.",formal-scientific,,high,pending,v4.2
Fractal Dimension,Hausdorff Dimension,framework,mathematics,"Generalization of integer dimension capturing the scaling behavior of self-similar objects, formalized through Mandelbrot's work and earlier Hausdorff measure theory.",formal-scientific,,high,pending,v4.2
Extended Evolutionary Synthesis,EES,framework,biology,"Research programme extending the Modern Synthesis to incorporate developmental plasticity, niche construction, inclusive inheritance, and evolvability.",philosophical-tradition,Disputed within mainstream evolutionary biology about whether the proposed extensions add explanatory power beyond the standard Modern Synthesis.,high,pending,v4.2
NIST AI Risk Management Framework,NIST AI RMF,framework,cybersecurity,"NIST's voluntary framework for managing AI risks across govern, map, measure, and manage functions, released January 2023 with a generative AI profile in 2024.",regulatory-standard,,high,pending,v4.2
EU AI Act,,framework,governance and compliance,"European Union regulation establishing a risk-based framework for AI systems, including prohibited practices, high-risk requirements, and general-purpose AI obligations.",regulatory-standard,,high,pending,v4.2
ISO/IEC 42001,,framework,governance and compliance,"International standard specifying requirements for an AI management system (AIMS), published 2023.",regulatory-standard,,high,pending,v4.2
OECD AI Principles,,framework,governance and compliance,"Intergovernmental principles for trustworthy AI adopted by OECD members and partner countries, foundational to subsequent AI governance frameworks.",regulatory-standard,,high,pending,v4.2
Singapore Model AI Governance Framework,Model AI Governance Framework,framework,governance and compliance,"Singapore IMDA's voluntary framework for organizational AI governance, including a generative AI extension.",regulatory-standard,,high,pending,v4.2
AI Bill of Rights,Blueprint for an AI Bill of Rights,framework,governance and compliance,US Office of Science and Technology Policy's blueprint articulating five principles for automated systems affecting Americans' rights.,organizing-schema,Non-binding blueprint rather than enforceable regulation; superseded in regulatory effect by subsequent executive orders.,high,pending,v4.2
NIST Privacy Framework,,framework,governance and compliance,"NIST's voluntary privacy risk management framework parallel in structure to the Cybersecurity Framework, with identify-govern-control-communicate-protect functions.",regulatory-standard,,high,pending,v4.2
FFIEC AIO Booklet,FFIEC Architecture Infrastructure and Operations,framework,governance and compliance,"Federal Financial Institutions Examination Council's IT Examination Handbook booklet covering architecture, infrastructure, and operational practices.",regulatory-standard,,high,pending,v4.2
OCC Heightened Standards,12 CFR Part 30 Appendix D,framework,governance and compliance,Office of the Comptroller of the Currency's heightened risk governance standards applicable to large national banks above asset thresholds.,regulatory-standard,,high,pending,v4.2
Model Risk Management,SR 11-7; OCC 2011-12,framework,governance and compliance,"Federal Reserve and OCC supervisory guidance establishing the foundational US framework for identifying, assessing, and controlling model risk in financial institutions.",regulatory-standard,,high,pending,v4.2
NIST 800-171,,framework,cybersecurity,NIST publication specifying security requirements for protecting controlled unclassified information in nonfederal systems; foundational to CMMC.,regulatory-standard,,high,pending,v4.2
OCC Risk Governance Framework,OCC Heightened Standards Risk Governance,framework,governance and compliance,"Risk governance component of the OCC Heightened Standards specifying board, management, and three-lines requirements for large banks.",regulatory-standard,,high,pending,v4.2
Job Characteristics Model,Hackman-Oldham Model,framework,psychology,"Hackman and Oldham's framework relating five job characteristics (skill variety, task identity, task significance, autonomy, feedback) to motivation and performance through critical psychological states.",structured-empirical,,high,pending,v4.2
Equity Theory,Adams Equity Theory,framework,psychology,J. Stacy Adams's framework explaining workplace motivation through perceived fairness of input-outcome ratios compared to relevant others.,structured-empirical,,high,pending,v4.2
Expectancy Theory,Vroom Expectancy Theory,framework,psychology,"Victor Vroom's framework characterizing motivation as the product of expectancy (effort-performance), instrumentality (performance-outcome), and valence (outcome value).",structured-empirical,,high,pending,v4.2
Goal-Setting Theory,Locke and Latham,framework,psychology,"Locke and Latham's framework establishing that specific, challenging goals improve performance more than vague or easy goals, mediated by attention, effort, persistence, and strategy.",structured-empirical,,high,pending,v4.2
Resource Dependence Theory,RDT,framework,sociology,Pfeffer and Salancik's framework treating organizations as fundamentally shaped by their dependence on external resources and the strategies they use to manage that dependence.,structured-empirical,,high,pending,v4.2
Institutional Theory,Neo-Institutionalism,framework,sociology,"DiMaggio and Powell's framework explaining organizational similarity through coercive, mimetic, and normative isomorphic pressures and the pursuit of legitimacy.",philosophical-tradition,,high,pending,v4.2
Population Ecology of Organizations,Organizational Ecology,framework,sociology,Hannan and Freeman's framework treating organizational populations as subject to selection pressures analogous to biological evolution.,structured-empirical,,high,pending,v4.2
Garbage Can Model,,framework,management,"Cohen, March, and Olsen's framework characterizing decision-making in organized anarchies as the chance confluence of problems, solutions, participants, and choice opportunities.",philosophical-tradition,,high,pending,v4.2
Bounded Rationality,,framework,economics,"Herbert Simon's framework treating human decision-making as constrained by cognitive limits, information costs, and time pressure rather than approximating ideal rationality.",structured-empirical,,high,pending,v4.2
Recognition-Primed Decision Making,RPD,framework,psychology,Gary Klein's framework characterizing how experts make rapid decisions by recognizing situations as similar to past cases and mentally simulating the recognized response.,structured-empirical,,high,pending,v4.2
Naturalistic Decision Making,NDM,framework,psychology,"Klein, Zsambok, and others' research programme studying how people actually make decisions in real-world high-stakes settings rather than laboratory conditions.",structured-empirical,,high,pending,v4.2
Implementation Intentions,If-Then Planning,framework,psychology,Peter Gollwitzer's framework using specific if-then plans linking situational cues to intended responses to bridge the intention-behavior gap.,structured-empirical,,high,pending,v4.2
Tiny Habits,BJ Fogg's Tiny Habits,framework,psychology,BJ Fogg's behavior-change framework anchoring new minimum-viable behaviors to existing routines and celebrating immediate success.,organizing-schema,,high,pending,v4.2
Atomic Habits,Cue-Craving-Response-Reward,framework,psychology,James Clear's framework characterizing habit formation through the cue-craving-response-reward loop and four laws of behavior change.,organizing-schema,Practitioner-oriented synthesis of existing behavioral psychology rather than original empirical research.,high,pending,v4.2
Lindy Effect,Lindy's Law,framework,philosophy,Nassim Taleb's formulation of an empirical regularity (originally attributed to Mandelbrot and earlier observers) that the future life expectancy of non-perishable things scales with their current age.,organizing-schema,,high,pending,v4.2
Antifragility,,framework,philosophy,"Nassim Taleb's framework characterizing systems that gain rather than lose from disorder, volatility, and stress, distinct from both fragility and resilience.",philosophical-tradition,,high,pending,v4.2
Black Swan Theory,,framework,philosophy,"Nassim Taleb's framework characterizing high-impact rare events that are unpredictable in advance, rationalized after the fact, and undersampled by historical experience.",philosophical-tradition,,high,pending,v4.2
Double-Entry Bookkeeping,Pacioli System,framework,accounting,"Foundational logic of accounting representing every economic event as offsetting debits and credits across two or more accounts, codified by Pacioli in 1494 and underlying all modern accounting systems.",philosophical-tradition,,high,pending,v4.2
US GAAP,Generally Accepted Accounting Principles; FASB ASC,framework,accounting,"Body of accounting standards governing US financial reporting, codified in the FASB Accounting Standards Codification.",regulatory-standard,,high,pending,v4.2
IFRS,International Financial Reporting Standards,framework,accounting,IASB's body of accounting standards used across most of the developed world outside the United States.,regulatory-standard,,high,pending,v4.2
GASB,Governmental Accounting Standards Board,framework,accounting,"Body of accounting standards governing US state and local governmental entities, established in 1984.",regulatory-standard,,high,pending,v4.2
FASAB,Federal Accounting Standards Advisory Board,framework,accounting,Body of accounting standards governing US federal government financial reporting.,regulatory-standard,,high,pending,v4.2
IPSAS,International Public Sector Accounting Standards,framework,accounting,"International accounting standards for public sector entities, the public sector counterpart to IFRS.",regulatory-standard,,high,pending,v4.2
ASC 606,Revenue from Contracts with Customers,framework,accounting,FASB Accounting Standards Codification topic establishing a five-step framework for revenue recognition; converged with IFRS 15.,regulatory-standard,,high,pending,v4.2
ASC 842,Leases (US GAAP),framework,accounting,FASB topic requiring most leases to be recognized on the balance sheet as right-of-use assets and lease liabilities.,regulatory-standard,,high,pending,v4.2
ASC 815,Derivatives and Hedging,framework,accounting,"FASB topic governing recognition, measurement, and disclosure of derivative instruments and hedging activities.",regulatory-standard,,high,pending,v4.2
ASC 805,Business Combinations,framework,accounting,FASB topic governing the acquisition method of accounting for business combinations including goodwill and intangible asset recognition.,regulatory-standard,,high,pending,v4.2
IFRS 15,Revenue from Contracts with Customers (IFRS),framework,accounting,IASB standard for revenue recognition; converged with ASC 606 through the FASB-IASB joint revenue project.,regulatory-standard,,high,pending,v4.2
IFRS 16,Leases (IFRS),framework,accounting,"IASB standard requiring lessees to recognize most leases on the balance sheet, parallel in intent to ASC 842 with implementation differences.",regulatory-standard,,high,pending,v4.2
IFRS 17,Insurance Contracts,framework,accounting,"IASB standard establishing recognition, measurement, and disclosure principles for insurance contracts, effective 2023.",regulatory-standard,,high,pending,v4.2
FASB Conceptual Framework,Statements of Financial Accounting Concepts,framework,accounting,"FASB's foundational framework articulating qualitative characteristics, elements, recognition, and measurement principles underlying US GAAP standard-setting.",philosophical-tradition,,high,pending,v4.2
IASB Conceptual Framework,Conceptual Framework for Financial Reporting,framework,accounting,"IASB's foundational framework articulating the objectives, qualitative characteristics, and recognition principles underlying IFRS standard-setting.",philosophical-tradition,,high,pending,v4.2
GAAS,Generally Accepted Auditing Standards,framework,accounting,"AICPA's body of auditing standards governing US private company audits, organized into general, fieldwork, and reporting standards.",regulatory-standard,,high,pending,v4.2
