name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence
Prospect Theory,,framework,economics,Kahneman and Tversky's account of decision under risk featuring loss aversion and reference dependence.,structured-empirical,,high
Cognitive Reframing,,technique,psychology,Deliberately reinterpreting an event to alter its emotional charge.,structured-empirical,,high
Thought Records,,tool,psychology,CBT worksheet for identifying and challenging automatic thoughts.,structured-empirical,,high
Behavioral Activation,,technique,psychology,Increasing engagement with rewarding activities to interrupt depressive cycles.,structured-empirical,,high
Mindfulness Practice,,practice,psychology,Sustained non-judgmental attention to present experience.,structured-empirical,"Originally Buddhist contemplative practice; now substantial empirical base in clinical contexts (MBSR, MBCT).",high
Box Breathing,Four-Square Breathing,technique,psychology,"Inhale, hold, exhale, hold for equal counts to regulate the nervous system.",organizing-schema,,high
Loving-Kindness Meditation,Metta,practice,theology,"Buddhist practice cultivating benevolence toward self, loved ones, neutral parties, and difficult people.",contemplative-tradition,,high
Journaling,,practice,psychology,Regular expressive writing for self-reflection and emotional processing.,organizing-schema,,high
Morning Pages,,practice,psychology,Cameron's daily three pages of stream-of-consciousness longhand writing.,organizing-schema,,high
Gratitude Journaling,,practice,psychology,"Regular practice of recording things one is grateful for, linked to wellbeing outcomes.",organizing-schema,,high
EMDR,Eye Movement Desensitization and Reprocessing,technique,psychology,Shapiro's bilateral-stimulation protocol for trauma processing.,structured-empirical,Empirical support for trauma processing; the specific role of bilateral stimulation as the active mechanism remains debated.,high
Structural Functionalism,,framework,sociology,Society as an integrated system of parts each serving stability-maintaining functions.,organizing-schema,,high
Conflict Theory,,framework,sociology,"Society as an arena of struggle between groups over scarce resources and power, rooted in Marx.",organizing-schema,,high
Symbolic Interactionism,,framework,sociology,Mead and Blumer's view of society as constituted through meaning-laden interaction.,organizing-schema,,high
Goffman's Dramaturgy,Presentation of Self,framework,sociology,Social life analyzed as theatrical performance with frontstage and backstage regions.,organizing-schema,,high
Bourdieu's Habitus,"Field, Capital",framework,sociology,"Practice as the product of habitus, field, and forms of capital — economic, cultural, social.",organizing-schema,,high
Foucault's Power-Knowledge,,framework,sociology,"Power and knowledge as inseparable, jointly producing subjects through discourse and discipline.",organizing-schema,,high
Weber's Bureaucracy,Rationalization,framework,sociology,"Ideal-type bureaucracy characterized by hierarchy, rules, impersonality, and technical expertise.",organizing-schema,,high
Structuration Theory,,framework,sociology,Giddens' account of structure and agency as recursively constituted.,organizing-schema,,high
Actor-Network Theory,ANT,framework,sociology,Latour and Callon's framework treating humans and non-humans as symmetric actants in networks.,organizing-schema,,high
Critical Theory,Frankfurt School,framework,sociology,"Marxist-derived tradition critiquing culture, ideology, and instrumental rationality.",organizing-schema,,high
Social Construction of Reality,,framework,sociology,Berger and Luckmann's account of how shared meanings come to feel objectively given.,organizing-schema,,high
Strength of Weak Ties,,framework,sociology,Granovetter's finding that loose acquaintances bridge networks more effectively than close ties.,structured-empirical,,high
Social Capital Theory,,framework,sociology,"Putnam's framework of bonding, bridging, and linking ties as productive resources.",structured-empirical,,high
Looking-Glass Self,,framework,sociology,Cooley's account of self formed through perception of how others see us.,organizing-schema,,high
Strain Theory,,framework,sociology,Merton's framework of deviance arising from gap between cultural goals and legitimate means.,organizing-schema,,high
Labeling Theory,,framework,sociology,Deviance as a social product of labeling rather than an inherent property of acts.,organizing-schema,,high
Risk Society,,framework,sociology,Beck's account of late modernity as organized around manufactured risks rather than scarcity.,organizing-schema,,high
Liquid Modernity,,framework,sociology,"Bauman's framework characterizing the present as fluid, individualized, and unsettled.",organizing-schema,,high
World-Systems Theory,,framework,sociology,"Wallerstein's framework of core, periphery, and semi-periphery in the global capitalist system.",organizing-schema,,high
Theory of Communicative Action,,framework,sociology,Habermas' framework distinguishing instrumental from communicative rationality.,organizing-schema,,high
Virtue Ethics,Aretaic Ethics,framework,philosophy,Ethics centered on character traits and human flourishing rather than rules or consequences.,philosophical-tradition,,high
Deontology,Kantian Ethics,framework,philosophy,"Ethics grounded in duty and universalizable maxims, independent of consequences.",philosophical-tradition,,high
Consequentialism,,framework,philosophy,Moral worth of action determined by its outcomes; utilitarianism is its most influential variant.,philosophical-tradition,,high
Utilitarianism,,framework,philosophy,"Maximize aggregate well-being; classical (Bentham, Mill) and contemporary variants.",philosophical-tradition,,high
Contractualism,,framework,philosophy,Scanlon's view that moral principles are those no one could reasonably reject.,philosophical-tradition,,high
Veil of Ignorance,Rawlsian Justice,framework,philosophy,Choose principles of justice without knowing your own position in society.,philosophical-tradition,,high
Capability Approach,,framework,economics,Sen and Nussbaum's framework evaluating well-being by what people can do and be.,philosophical-tradition,,high
Care Ethics,Ethics of Care,framework,philosophy,Gilligan and Noddings' framework grounding ethics in relationships and responsiveness rather than abstract principle.,philosophical-tradition,,high
Pragmatism,,framework,philosophy,"Peirce, James, Dewey: meaning and truth grounded in practical consequences and inquiry.",philosophical-tradition,,high
Existentialism,,framework,philosophy,"Existence precedes essence; meaning is created through choice, freedom, and responsibility.",philosophical-tradition,,high
Phenomenology,,framework,philosophy,Husserl's method of describing structures of conscious experience as they appear.,philosophical-tradition,,high
Hermeneutics,,framework,philosophy,"Theory and practice of interpretation, especially of texts and historical understanding.",philosophical-tradition,,high
Stoicism,,framework,philosophy,"Hellenistic philosophy emphasizing virtue, reason, and acceptance of what one cannot control.",philosophical-tradition,,high
Epicureanism,,framework,philosophy,Hellenistic philosophy seeking tranquility through prudent pleasure and absence of pain.,philosophical-tradition,,high
Falsificationism,,framework,philosophy,Popper's criterion that scientific claims must be capable of being proven wrong.,philosophical-tradition,,high
Paradigm Shift,Kuhnian Revolution,framework,philosophy,Kuhn's account of science as alternating periods of normal science and revolutionary change.,philosophical-tradition,,high
Lakatosian Research Programmes,,framework,philosophy,Lakatos' refinement of Popper: programmes have hard cores and protective belts of auxiliary hypotheses.,philosophical-tradition,,high
Bayesian Epistemology,,framework,philosophy,Belief modeled as probability and updated by Bayes' rule on new evidence.,philosophical-tradition,Distinct from Bayesian Inference (formal-scientific); this is the philosophical position that belief should be modeled probabilistically.,high
Reflective Equilibrium,,framework,philosophy,Iterative adjustment between principles and considered judgments until coherence is reached.,philosophical-tradition,,high
Foundationalism,,framework,philosophy,Knowledge structure resting on basic non-inferentially justified beliefs.,philosophical-tradition,,high
Coherentism,,framework,philosophy,"Knowledge justified by mutual support among beliefs, with no privileged foundation.",philosophical-tradition,,high
Reliabilism,,framework,philosophy,Knowledge as belief produced by reliable cognitive processes.,philosophical-tradition,,high
Occam's Razor,Principle of Parsimony,technique,philosophy,"Among competing hypotheses, prefer the one with fewest assumptions.",philosophical-tradition,,high
Hanlon's Razor,,technique,philosophy,Never attribute to malice that which is adequately explained by stupidity.,philosophical-tradition,,high
Sturgeon's Law,,technique,philosophy,Ninety percent of everything is crud — used to push past surface dismissal.,philosophical-tradition,,high
Steelmanning,,technique,philosophy,Construct the strongest possible version of an opposing argument before engaging it.,philosophical-tradition,,high
First Principles Thinking,,technique,philosophy,Decomposing a problem to its foundational truths and reasoning upward.,philosophical-tradition,,high
Principle of Charity,Charitable Interpretation,technique,philosophy,Interpret others' arguments in their strongest plausible form.,philosophical-tradition,,high
Trolley Problem,,technique,philosophy,Foot and Thomson's thought experiment probing intuitions about killing vs letting die.,philosophical-tradition,,high
Ship of Theseus,,technique,philosophy,Thought experiment about identity through gradual replacement of parts.,philosophical-tradition,,high
Veil of Ignorance Method,,technique,philosophy,Reasoning device for fairness by stripping knowledge of one's own position.,philosophical-tradition,,high
Separation of Powers,,framework,political science,"Montesquieu's division of state authority among legislative, executive, and judicial branches.",organizing-schema,,high
Federalism,,framework,political science,Sovereignty divided constitutionally between national and subnational governments.,organizing-schema,,high
Public Choice Theory,,framework,political science,Buchanan and Tullock applying economic methods to political behavior.,organizing-schema,,high
Median Voter Theorem,,framework,political science,"Under single-peaked preferences and majority rule, the median voter's preference wins.",formal-scientific,,high
Arrow's Impossibility Theorem,,framework,political science,No rank-order voting system can satisfy a small set of fairness criteria simultaneously.,formal-scientific,,high
Realism (IR),Political Realism,framework,political science,International relations driven by states pursuing power in an anarchic system.,organizing-schema,,high
Liberalism (IR),,framework,political science,"International relations shaped by institutions, interdependence, and democratic norms.",organizing-schema,,high
Constructivism (IR),,framework,political science,International behavior shaped by socially constructed identities and norms.,organizing-schema,,high
Democratic Peace Theory,,framework,political science,Empirical regularity that mature democracies rarely fight one another.,organizing-schema,,high
Soft Power,,framework,political science,Nye's concept of influence through attraction and persuasion rather than coercion.,organizing-schema,,high
Smart Power,,framework,political science,Combining hard and soft power instruments contextually.,organizing-schema,,high
Overton Window,,framework,political science,The range of policy ideas considered politically acceptable at a given time.,organizing-schema,,high
Spiral of Silence,,framework,political science,Noelle-Neumann's account of opinion suppression when people perceive themselves in a minority.,organizing-schema,,high
Agenda-Setting Theory,,framework,political science,Media doesn't tell us what to think but powerfully shapes what to think about.,organizing-schema,,high
