name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Lewin's Change Model,Unfreeze-Change-Refreeze,framework,management,Three-stage model of behavioral change at individual or organizational level.,organizing-schema,,high,enriched,v4
ADKAR,,framework,management,"Awareness, Desire, Knowledge, Ability, Reinforcement — Prosci's individual-change model.",organizing-schema,,high,enriched,v4
Bridges' Transition Model,,framework,management,"Distinguishes external change from internal psychological transition through endings, neutral zone, beginnings.",organizing-schema,,high,enriched,v4
Greiner's Growth Model,,framework,management,Predictable phases of organizational growth punctuated by crises.,organizing-schema,,high,enriched,v4
Tuckman's Stages,Forming-Storming-Norming-Performing,framework,management,Stage model of small-group development including the later-added 'adjourning.',organizing-schema,Widely cited but limited rigorous empirical validation of discrete stages.,high,enriched,v4
Theory X and Theory Y,,framework,management,McGregor's contrasting assumptions about whether workers inherently dislike or seek work.,organizing-schema,Useful framing of managerial assumptions; not empirically validated as a typology.,high,enriched,v4
Herzberg's Two-Factor Theory,Motivation-Hygiene Theory,framework,management,Distinguishes hygiene factors that prevent dissatisfaction from motivators that drive satisfaction.,organizing-schema,Influential but the two-factor structure has not been replicated in subsequent research.,high,enriched,v4
Hofstede's Cultural Dimensions,,framework,management,"Six dimensions for comparing national cultures, originally derived from IBM survey data.",organizing-schema,Influential but methodologically critiqued; original sample (IBM employees) and dimensional structure have been challenged.,high,enriched,v4
Trompenaars' Cultural Dimensions,Seven Dimensions of Culture,framework,management,"Alternative cross-cultural framework emphasizing relationships, time, and environment.",organizing-schema,,high,enriched,v4
Management by Objectives,MBO,framework,management,Drucker's approach: align managers and employees through agreed measurable objectives.,organizing-schema,,high,enriched,v4
Mintzberg's Management Roles,,framework,management,"Ten managerial roles grouped as interpersonal, informational, and decisional.",organizing-schema,,high,enriched,v4
Mintzberg's Configurations,,framework,management,"Five organizational structures from simple to adhocracy, defined by coordination mechanism.",organizing-schema,,high,enriched,v4
SWOT Analysis,,tool,management,"Surfaces strengths, weaknesses, opportunities, and threats for a venture or decision.",organizing-schema,,high,enriched,v4
PESTLE Analysis,"PEST, PESTEL, STEEPLE",tool,management,"Scans Political, Economic, Social, Technological, Legal, and Environmental factors.",organizing-schema,,high,enriched,v4
VRIO Framework,,framework,management,"Tests resources for Value, Rarity, Imitability, and Organization to find sustained advantage.",organizing-schema,,high,enriched,v4
Resource-Based View,RBV,framework,management,"Competitive advantage stems from valuable, rare, inimitable, organized internal resources.",organizing-schema,,high,enriched,v4
Dynamic Capabilities,,framework,management,"Teece's view of advantage from sensing, seizing, and reconfiguring assets in changing environments.",organizing-schema,,high,enriched,v4
Stakeholder Theory,,framework,management,"Freeman's argument that firms must serve all affected parties, not just shareholders.",organizing-schema,,high,enriched,v4
Triple Bottom Line,"TBL, 3BL",framework,management,"Performance measured across people, planet, and profit dimensions.",organizing-schema,,high,enriched,v4
Three Horizons Model,,framework,management,"McKinsey portfolio model balancing core, emerging, and exploratory growth initiatives.",organizing-schema,,high,enriched,v4
Holacracy,,framework,management,Self-management system replacing traditional hierarchy with distributed authority and circles.,organizing-schema,,high,enriched,v4
Sociocracy,Dynamic Governance,framework,management,Consent-based governance through linked circles of decision-making.,organizing-schema,,high,enriched,v4
Pyramid Principle,Minto Pyramid,framework,management,"Top-down communication structure starting with the answer, supported by grouped arguments.",organizing-schema,,high,enriched,v4
Strategy Canvas,,tool,management,Blue Ocean visual contrasting an industry's value-curve to identify reinvention opportunities.,organizing-schema,,high,enriched,v4
RACI Matrix,,tool,management,"Clarifies who is Responsible, Accountable, Consulted, and Informed for each task.",organizing-schema,,high,enriched,v4
DACI,,tool,management,"Driver, Approver, Contributors, Informed — decision-roles variant of RACI.",organizing-schema,,high,enriched,v4
Eisenhower Matrix,Urgent-Important Matrix,tool,management,Sorts tasks into four quadrants by urgency and importance.,organizing-schema,,high,enriched,v4
MoSCoW,,tool,management,"Prioritizes requirements as Must, Should, Could, or Won't have.",organizing-schema,,high,enriched,v4
RICE Scoring,,tool,management,"Prioritizes features by Reach, Impact, Confidence, and Effort.",organizing-schema,,high,enriched,v4
ICE Scoring,,tool,management,"Prioritizes ideas on Impact, Confidence, and Ease — simpler RICE precursor.",organizing-schema,,high,enriched,v4
Kano Model,,framework,management,"Classifies features as basic, performance, or delighters by their effect on customer satisfaction.",organizing-schema,,high,enriched,v4
Pareto Analysis,80/20 Rule,tool,management,Identifies the vital few inputs accounting for the majority of outputs.,organizing-schema,,high,enriched,v4
Pugh Matrix,Decision Matrix,tool,management,Concept selection by scoring alternatives against weighted criteria relative to a baseline.,organizing-schema,,high,enriched,v4
After Action Review,AAR,practice,management,"Structured reflection on what was intended, what happened, why, and what to do next.",organizing-schema,,high,enriched,v4
Premortem,,technique,management,Imagine the project has failed and work backward to prevent the causes.,organizing-schema,,high,enriched,v4
Five Whys,5 Whys,technique,management,"Iteratively ask 'why' to drill from symptom to root cause, originating in Toyota's TPS.",organizing-schema,,high,enriched,v4
Fishbone Diagram,"Ishikawa Diagram, Cause-and-Effect Diagram",tool,management,"Visual root-cause analysis grouping causes under categories like people, process, materials.",organizing-schema,,high,enriched,v4
Six Thinking Hats,,technique,management,De Bono's parallel-thinking method using six distinct perspective 'hats.',organizing-schema,,high,enriched,v4
Lateral Thinking,,framework,management,De Bono's approach to generating ideas by deliberately disrupting linear logic.,organizing-schema,,high,enriched,v4
SCAMPER,,technique,management,"Idea-generation prompts: Substitute, Combine, Adapt, Modify, Put to other use, Eliminate, Reverse.",organizing-schema,,high,enriched,v4
TRIZ,Theory of Inventive Problem Solving,framework,engineering,"Altshuller's pattern-based system for technical innovation, drawn from millions of patents.",organizing-schema,,high,enriched,v4
Mind Mapping,,technique,management,Buzan's radial visual technique for non-linear note-taking and brainstorming.,organizing-schema,,high,enriched,v4
Affinity Diagram,KJ Method,technique,management,Group disparate ideas into emergent themes by intuitive sorting.,organizing-schema,,high,enriched,v4
Force Field Analysis,,tool,management,Lewin's mapping of driving and restraining forces around a proposed change.,organizing-schema,,high,enriched,v4
Decision Tree Analysis,,tool,management,"Branching diagram of choices, chance events, and outcomes with associated values.",organizing-schema,,high,enriched,v4
Stage-Gate Process,Phase-Gate,framework,management,Cooper's product-development model with go/kill decisions between defined stages.,organizing-schema,,high,enriched,v4
DMAIC,,framework,management,"Six Sigma improvement cycle: Define, Measure, Analyze, Improve, Control.",organizing-schema,,high,enriched,v4
DMADV,,framework,management,"Six Sigma design cycle: Define, Measure, Analyze, Design, Verify.",organizing-schema,,high,enriched,v4
Total Quality Management,TQM,framework,management,Organization-wide focus on continuous quality improvement with customer at the center.,organizing-schema,,high,enriched,v4
Quality Function Deployment,"QFD, House of Quality",framework,engineering,Translates customer requirements into engineering specifications via matrix analysis.,organizing-schema,,high,enriched,v4
Poka-Yoke,Mistake-Proofing,technique,engineering,Design constraints that make errors impossible or immediately obvious.,organizing-schema,,high,enriched,v4
Hedgehog Concept,,framework,management,"Collins' intersection of passion, economic engine, and what-you-can-be-best-at.",organizing-schema,,high,enriched,v4
Level 5 Leadership,,framework,management,Collins' hierarchy of executive capability culminating in humility plus fierce resolve.,organizing-schema,,high,enriched,v4
Five Dysfunctions of a Team,,framework,management,"Lencioni's pyramid: absence of trust, fear of conflict, lack of commitment, avoidance of accountability, inattention to results.",organizing-schema,,high,enriched,v4
Situational Leadership,,framework,management,Hersey-Blanchard model matching leadership style to follower readiness.,organizing-schema,,high,enriched,v4
Servant Leadership,,framework,management,Greenleaf's leadership philosophy where the leader's primary role is to serve.,organizing-schema,,high,enriched,v4
Transformational Leadership,,framework,management,"Bass and Burns model emphasizing inspiration, intellectual stimulation, and individualized consideration.",organizing-schema,,high,enriched,v4
4Ps of Marketing,Marketing Mix,framework,marketing,"McCarthy's product, price, place, promotion as the four levers of marketing.",organizing-schema,,high,enriched,v4
7Ps of Marketing,Extended Marketing Mix,framework,marketing,"Booms and Bitner's extension adding people, process, and physical evidence for services.",organizing-schema,,high,enriched,v4
4Cs of Marketing,,framework,marketing,"Lauterborn's customer-centric reframe: consumer, cost, convenience, communication.",organizing-schema,,high,enriched,v4
AIDA,,framework,marketing,"Attention, Interest, Desire, Action — classic linear advertising response model.",organizing-schema,,high,enriched,v4
AIDAS,,framework,marketing,AIDA extended with Satisfaction to capture post-purchase loyalty.,organizing-schema,,high,enriched,v4
STP,Segmentation Targeting Positioning,framework,marketing,"Sequential approach: segment market, target chosen segments, position offering distinctively.",organizing-schema,,high,enriched,v4
Marketing Funnel,Purchase Funnel,framework,marketing,Awareness through purchase as a narrowing pipeline of prospects.,organizing-schema,,high,enriched,v4
Pirate Metrics,AARRR,framework,marketing,"McClure's Acquisition, Activation, Retention, Referral, Revenue lifecycle for startups.",organizing-schema,,high,enriched,v4
Crossing the Chasm,Technology Adoption Lifecycle,framework,marketing,Moore's adaptation showing the gap between early adopters and early majority.,organizing-schema,,high,enriched,v4
Diffusion of Innovations,,framework,sociology,"Rogers' S-curve model of how innovations spread through innovators, adopters, and laggards.",structured-empirical,,high,enriched,v4
StoryBrand,SB7,framework,marketing,"Donald Miller's seven-part brand-narrative framework casting customer as hero, brand as guide.",organizing-schema,,high,enriched,v4
Net Promoter Score,NPS,tool,marketing,Single-question loyalty measure based on likelihood to recommend.,organizing-schema,,high,enriched,v4
Customer Lifetime Value,"CLV, LTV",tool,marketing,Projected revenue from a customer relationship over its entire duration.,organizing-schema,,high,enriched,v4
RFM Analysis,Recency Frequency Monetary,tool,marketing,"Customer segmentation by how recently, how often, and how much they purchased.",organizing-schema,,high,enriched,v4
Means-End Theory,Means-End Chain,framework,marketing,Links product attributes to consumer values through a chain of consequences.,organizing-schema,,high,enriched,v4
Ehrenberg-Bass Laws,How Brands Grow,framework,marketing,"Empirical regularities in buying behavior, including double jeopardy and brand penetration.",organizing-schema,,high,enriched,v4
Customer Journey Mapping,,tool,marketing,"Visualizes a customer's stages, touchpoints, emotions, and pain points across an experience.",organizing-schema,,high,enriched,v4
Empathy Map,,tool,marketing,"Visual organizing what a user says, thinks, does, and feels.",organizing-schema,,high,enriched,v4
Personas,"User Personas, Buyer Personas",tool,marketing,Composite fictional representatives of target user segments used to ground design and marketing.,organizing-schema,,high,enriched,v4
Hooked Model,Hook Canvas,framework,marketing,Eyal's trigger-action-reward-investment loop for habit-forming products.,organizing-schema,,high,enriched,v4
Fogg Behavior Model,B=MAT,framework,psychology,"Behavior occurs when motivation, ability, and prompt converge simultaneously.",structured-empirical,,high,enriched,v4
Big Five,"OCEAN, CANOE, Five-Factor Model",framework,psychology,"Five dimensions of personality: Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism.",structured-empirical,,high,enriched,v4
HEXACO,,framework,psychology,Six-factor personality model adding Honesty-Humility to the Big Five.,structured-empirical,,high,enriched,v4
Myers-Briggs Type Indicator,MBTI,framework,psychology,Sixteen personality types from Jungian dichotomies; widely used despite weak psychometric support.,organizing-schema,Weak psychometric reliability and validity; rejected by mainstream personality psychology despite cultural penetration. Bimodal forced-choice on continuously distributed traits.,high,enriched,v4
Enneagram,Enneagram of Personality,framework,psychology,"Nine interconnected personality types with wings, instincts, and integration arrows.",contemplative-tradition,Origins in Gurdjieff/Ichazo esoteric traditions; no peer-reviewed empirical validation. Often presented as if psychometrically validated when it is not.,high,enriched,v4
DISC Assessment,,framework,psychology,"Behavioral typology along Dominance, Influence, Steadiness, and Conscientiousness.",organizing-schema,Modest psychometric support; substantially weaker than Five-Factor instruments.,high,enriched,v4
CliftonStrengths,StrengthsFinder,framework,psychology,Gallup's 34 talent themes used for strengths-based development.,organizing-schema,Validation primarily from Gallup (proprietor); limited independent replication.,high,enriched,v4
Hogan Personality Inventory,HPI,framework,psychology,Workplace personality assessment grounded in the Five-Factor Model.,structured-empirical,,high,enriched,v4
Maslow's Hierarchy of Needs,,framework,psychology,"Pyramid from physiological needs through self-actualization, with self-transcendence later added.",organizing-schema,Core needs categories are useful but the strict hierarchy structure is not empirically supported.,high,enriched,v4
Self-Determination Theory,SDT,framework,psychology,"Deci and Ryan's framework of autonomy, competence, and relatedness as basic psychological needs.",structured-empirical,,high,enriched,v4
Attachment Theory,,framework,psychology,Bowlby and Ainsworth's framework of early bonds shaping internal working models of relationships.,structured-empirical,,high,enriched,v4
Bowen Family Systems Theory,,framework,psychology,"Family as an emotional unit shaped by differentiation, triangles, and multigenerational transmission.",organizing-schema,Clinically influential; limited rigorous empirical validation.,high,enriched,v4
Internal Family Systems,IFS,framework,psychology,"Schwartz's parts-based therapy model with managers, exiles, firefighters, and the Self.",organizing-schema,Emerging clinical support but evidence base remains thinner than CBT or DBT.,high,enriched,v4
Polyvagal Theory,,framework,psychology,"Porges' theory of three vagal pathways governing safety, mobilization, and shutdown.",organizing-schema,Therapeutic adoption is broad but underlying neurophysiology has been seriously challenged in mainstream physiology (Grossman and others).,high,enriched,v4
Transactional Analysis,TA,framework,psychology,"Berne's framework of Parent, Adult, and Child ego states transacting in relationships.",organizing-schema,Some clinical use; limited contemporary empirical validation.,high,enriched,v4
Cognitive Behavioral Therapy,CBT,framework,psychology,"Beck's framework linking thoughts, feelings, and behaviors as targets for change.",structured-empirical,,high,enriched,v4
Dialectical Behavior Therapy,DBT,framework,psychology,"Linehan's CBT extension adding mindfulness, distress tolerance, and emotion regulation.",structured-empirical,,high,enriched,v4
Acceptance and Commitment Therapy,ACT,framework,psychology,Hayes' framework using acceptance and values clarification rather than symptom reduction.,structured-empirical,,high,enriched,v4
Rational Emotive Behavior Therapy,REBT,framework,psychology,Ellis' precursor to CBT focused on disputing irrational beliefs.,structured-empirical,,high,enriched,v4
Schema Therapy,,framework,psychology,Young's integrative therapy targeting early maladaptive schemas formed in childhood.,structured-empirical,,high,enriched,v4
Jungian Analytical Psychology,,framework,psychology,"Jung's framework of personal and collective unconscious, archetypes, and individuation.",organizing-schema,Influential in depth psychology and culture; not validated within empirical psychology.,high,enriched,v4
Jungian Archetypes,,framework,psychology,"Universal symbolic patterns including Self, Shadow, Anima/Animus, Hero, Mother.",organizing-schema,Not empirically grounded; useful as cultural and narrative scaffolding rather than psychological taxonomy.,high,enriched,v4
King Warrior Magician Lover,KWML,framework,psychology,Moore and Gillette's masculine archetypes drawn from depth psychology.,organizing-schema,Derived from Jungian depth psychology; valuable for self-development work but not empirically validated.,high,enriched,v4
Erikson's Stages,,framework,psychology,Eight psychosocial stages from trust vs mistrust through integrity vs despair.,structured-empirical,,high,enriched,v4
Piaget's Stages,,framework,psychology,Four stages of cognitive development from sensorimotor through formal operations.,structured-empirical,,high,enriched,v4
Kohlberg's Stages of Moral Development,,framework,psychology,"Six stages across pre-conventional, conventional, and post-conventional moral reasoning.",structured-empirical,,high,enriched,v4
Zone of Proximal Development,ZPD,framework,psychology,Vygotsky's gap between what a learner can do alone and with guidance.,structured-empirical,,high,enriched,v4
Social Learning Theory,,framework,psychology,"Bandura's account of learning through observation, modeling, and imitation.",structured-empirical,,high,enriched,v4
Self-Efficacy Theory,,framework,psychology,Bandura's construct: belief in one's ability to execute behaviors needed for outcomes.,structured-empirical,,high,enriched,v4
Locus of Control,,framework,psychology,Rotter's dimension contrasting internal vs external attribution of control over events.,structured-empirical,,high,enriched,v4
Learned Helplessness,,framework,psychology,Seligman's account of passivity arising from repeated uncontrollable aversive events.,structured-empirical,,high,enriched,v4
Positive Psychology,PERMA,framework,psychology,"Seligman's flourishing framework: Positive emotion, Engagement, Relationships, Meaning, Accomplishment.",structured-empirical,,high,enriched,v4
Flow Theory,,framework,psychology,Csikszentmihalyi's optimal experience at the balance of challenge and skill.,structured-empirical,,high,enriched,v4
Dual-Process Theory,System 1 / System 2,framework,psychology,"Two modes of cognition: fast intuitive and slow deliberative, popularized by Kahneman.",structured-empirical,,high,enriched,v4
Cognitive Dissonance Theory,,framework,psychology,Festinger's account of discomfort from holding contradictory beliefs and motivated rationalization.,structured-empirical,,high,enriched,v4
Theory of Planned Behavior,TPB,framework,psychology,"Ajzen's model: intention shaped by attitudes, norms, and perceived control.",structured-empirical,,high,enriched,v4
Health Belief Model,HBM,framework,medicine,"Health behavior driven by perceived susceptibility, severity, benefits, and barriers.",structured-empirical,,high,enriched,v4
Transtheoretical Model,Stages of Change,framework,psychology,"Prochaska and DiClemente's stages: precontemplation, contemplation, preparation, action, maintenance.",structured-empirical,,high,enriched,v4
Motivational Interviewing,MI,framework,psychology,Miller and Rollnick's collaborative method for evoking change talk and resolving ambivalence.,structured-empirical,,high,enriched,v4
Trauma-Informed Care,,framework,psychology,"Approach assuming widespread trauma and prioritizing safety, choice, collaboration, empowerment.",structured-empirical,,high,enriched,v4
Job Demands-Resources Model,JD-R,framework,psychology,Demerouti and Bakker's framework explaining burnout and engagement at work.,structured-empirical,,high,enriched,v4
Conservation of Resources Theory,COR,framework,psychology,Hobfoll's stress theory: people seek to acquire and protect valued resources.,structured-empirical,,high,enriched,v4
Broaden-and-Build Theory,,framework,psychology,Fredrickson's theory that positive emotions broaden thought-action repertoires.,structured-empirical,,high,enriched,v4
Karpman Drama Triangle,,framework,psychology,"Three relational roles in conflict: Persecutor, Victim, Rescuer.",organizing-schema,Clinically useful schema; not empirically tested as a falsifiable theory.,high,enriched,v4
Choice Theory,Reality Therapy,framework,psychology,Glasser's framework of human behavior driven by five basic needs.,organizing-schema,Glasser's framework has practitioner adoption but limited rigorous empirical research.,high,enriched,v4
Gottman Sound Relationship House,,framework,psychology,Empirically derived model of healthy couple relationships across nine levels.,structured-empirical,,high,enriched,v4
Adlerian Individual Psychology,,framework,psychology,"Adler's framework emphasizing inferiority, social interest, and lifestyle.",organizing-schema,Influential in counseling traditions; limited contemporary empirical research.,high,enriched,v4
Object Relations Theory,,framework,psychology,Psychoanalytic school focusing on internalized representations of self and others.,organizing-schema,Influential in clinical psychoanalysis; not amenable to standard empirical validation.,high,enriched,v4
Self Psychology,,framework,psychology,Kohut's psychoanalytic framework centered on selfobject experiences and narcissistic development.,organizing-schema,Influential in clinical psychoanalysis; not amenable to standard empirical validation.,high,enriched,v4
Heuristics and Biases Program,,framework,psychology,Kahneman and Tversky's research program cataloguing systematic deviations from rational judgment.,structured-empirical,,high,enriched,v4
Prospect Theory,,framework,economics,Kahneman and Tversky's account of decision under risk featuring loss aversion and reference dependence.,structured-empirical,,high,enriched,v4
Cognitive Reframing,,technique,psychology,Deliberately reinterpreting an event to alter its emotional charge.,structured-empirical,,high,enriched,v4
Thought Records,,tool,psychology,CBT worksheet for identifying and challenging automatic thoughts.,structured-empirical,,high,enriched,v4
Behavioral Activation,,technique,psychology,Increasing engagement with rewarding activities to interrupt depressive cycles.,structured-empirical,,high,enriched,v4
Mindfulness Practice,,practice,psychology,Sustained non-judgmental attention to present experience.,structured-empirical,"Originally Buddhist contemplative practice; now substantial empirical base in clinical contexts (MBSR, MBCT).",high,enriched,v4
Box Breathing,Four-Square Breathing,technique,psychology,"Inhale, hold, exhale, hold for equal counts to regulate the nervous system.",organizing-schema,,high,enriched,v4
Loving-Kindness Meditation,Metta,practice,theology,"Buddhist practice cultivating benevolence toward self, loved ones, neutral parties, and difficult people.",contemplative-tradition,,high,enriched,v4
Journaling,,practice,psychology,Regular expressive writing for self-reflection and emotional processing.,organizing-schema,,high,enriched,v4
Morning Pages,,practice,psychology,Cameron's daily three pages of stream-of-consciousness longhand writing.,organizing-schema,,high,enriched,v4
Gratitude Journaling,,practice,psychology,"Regular practice of recording things one is grateful for, linked to wellbeing outcomes.",organizing-schema,,high,enriched,v4
EMDR,Eye Movement Desensitization and Reprocessing,technique,psychology,Shapiro's bilateral-stimulation protocol for trauma processing.,structured-empirical,Empirical support for trauma processing; the specific role of bilateral stimulation as the active mechanism remains debated.,high,enriched,v4
Structural Functionalism,,framework,sociology,Society as an integrated system of parts each serving stability-maintaining functions.,organizing-schema,,high,enriched,v4
Conflict Theory,,framework,sociology,"Society as an arena of struggle between groups over scarce resources and power, rooted in Marx.",organizing-schema,,high,enriched,v4
Symbolic Interactionism,,framework,sociology,Mead and Blumer's view of society as constituted through meaning-laden interaction.,organizing-schema,,high,enriched,v4
Goffman's Dramaturgy,Presentation of Self,framework,sociology,Social life analyzed as theatrical performance with frontstage and backstage regions.,organizing-schema,,high,enriched,v4
Bourdieu's Habitus,"Field, Capital",framework,sociology,"Practice as the product of habitus, field, and forms of capital — economic, cultural, social.",organizing-schema,,high,enriched,v4
Foucault's Power-Knowledge,,framework,sociology,"Power and knowledge as inseparable, jointly producing subjects through discourse and discipline.",organizing-schema,,high,enriched,v4
Weber's Bureaucracy,Rationalization,framework,sociology,"Ideal-type bureaucracy characterized by hierarchy, rules, impersonality, and technical expertise.",organizing-schema,,high,enriched,v4
Structuration Theory,,framework,sociology,Giddens' account of structure and agency as recursively constituted.,organizing-schema,,high,enriched,v4
Actor-Network Theory,ANT,framework,sociology,Latour and Callon's framework treating humans and non-humans as symmetric actants in networks.,organizing-schema,,high,enriched,v4
Critical Theory,Frankfurt School,framework,sociology,"Marxist-derived tradition critiquing culture, ideology, and instrumental rationality.",organizing-schema,,high,enriched,v4
Social Construction of Reality,,framework,sociology,Berger and Luckmann's account of how shared meanings come to feel objectively given.,organizing-schema,,high,enriched,v4
Strength of Weak Ties,,framework,sociology,Granovetter's finding that loose acquaintances bridge networks more effectively than close ties.,structured-empirical,,high,enriched,v4
Social Capital Theory,,framework,sociology,"Putnam's framework of bonding, bridging, and linking ties as productive resources.",structured-empirical,,high,enriched,v4
Looking-Glass Self,,framework,sociology,Cooley's account of self formed through perception of how others see us.,organizing-schema,,high,enriched,v4
Strain Theory,,framework,sociology,Merton's framework of deviance arising from gap between cultural goals and legitimate means.,organizing-schema,,high,enriched,v4
Labeling Theory,,framework,sociology,Deviance as a social product of labeling rather than an inherent property of acts.,organizing-schema,,high,enriched,v4
Risk Society,,framework,sociology,Beck's account of late modernity as organized around manufactured risks rather than scarcity.,organizing-schema,,high,enriched,v4
Liquid Modernity,,framework,sociology,"Bauman's framework characterizing the present as fluid, individualized, and unsettled.",organizing-schema,,high,enriched,v4
World-Systems Theory,,framework,sociology,"Wallerstein's framework of core, periphery, and semi-periphery in the global capitalist system.",organizing-schema,,high,enriched,v4
Theory of Communicative Action,,framework,sociology,Habermas' framework distinguishing instrumental from communicative rationality.,organizing-schema,,high,enriched,v4
Virtue Ethics,Aretaic Ethics,framework,philosophy,Ethics centered on character traits and human flourishing rather than rules or consequences.,philosophical-tradition,,high,enriched,v4
Deontology,Kantian Ethics,framework,philosophy,"Ethics grounded in duty and universalizable maxims, independent of consequences.",philosophical-tradition,,high,enriched,v4
Consequentialism,,framework,philosophy,Moral worth of action determined by its outcomes; utilitarianism is its most influential variant.,philosophical-tradition,,high,enriched,v4
Utilitarianism,,framework,philosophy,"Maximize aggregate well-being; classical (Bentham, Mill) and contemporary variants.",philosophical-tradition,,high,enriched,v4
Contractualism,,framework,philosophy,Scanlon's view that moral principles are those no one could reasonably reject.,philosophical-tradition,,high,enriched,v4
Veil of Ignorance,Rawlsian Justice,framework,philosophy,Choose principles of justice without knowing your own position in society.,philosophical-tradition,,high,enriched,v4
Capability Approach,,framework,economics,Sen and Nussbaum's framework evaluating well-being by what people can do and be.,philosophical-tradition,,high,enriched,v4
Care Ethics,Ethics of Care,framework,philosophy,Gilligan and Noddings' framework grounding ethics in relationships and responsiveness rather than abstract principle.,philosophical-tradition,,high,enriched,v4
Pragmatism,,framework,philosophy,"Peirce, James, Dewey: meaning and truth grounded in practical consequences and inquiry.",philosophical-tradition,,high,enriched,v4
Existentialism,,framework,philosophy,"Existence precedes essence; meaning is created through choice, freedom, and responsibility.",philosophical-tradition,,high,enriched,v4
Phenomenology,,framework,philosophy,Husserl's method of describing structures of conscious experience as they appear.,philosophical-tradition,,high,enriched,v4
Hermeneutics,,framework,philosophy,"Theory and practice of interpretation, especially of texts and historical understanding.",philosophical-tradition,,high,enriched,v4
Stoicism,,framework,philosophy,"Hellenistic philosophy emphasizing virtue, reason, and acceptance of what one cannot control.",philosophical-tradition,,high,enriched,v4
Epicureanism,,framework,philosophy,Hellenistic philosophy seeking tranquility through prudent pleasure and absence of pain.,philosophical-tradition,,high,enriched,v4
Falsificationism,,framework,philosophy,Popper's criterion that scientific claims must be capable of being proven wrong.,philosophical-tradition,,high,enriched,v4
Paradigm Shift,Kuhnian Revolution,framework,philosophy,Kuhn's account of science as alternating periods of normal science and revolutionary change.,philosophical-tradition,,high,enriched,v4
Lakatosian Research Programmes,,framework,philosophy,Lakatos' refinement of Popper: programmes have hard cores and protective belts of auxiliary hypotheses.,philosophical-tradition,,high,enriched,v4
Bayesian Epistemology,,framework,philosophy,Belief modeled as probability and updated by Bayes' rule on new evidence.,philosophical-tradition,Distinct from Bayesian Inference (formal-scientific); this is the philosophical position that belief should be modeled probabilistically.,high,enriched,v4
